Name,Full name,Monomer SMILES,Repeat unit SMILES,Rescode,Parameterized
hP3H6MeO,,,,,
mP3H6MeO,,,,,
tP3H6MeO,,,,,
hP3H7MeO,,,,,
mP3H7MeO,,,,,
tP3H7MeO,,,,,
hP3H6MeN,,,,,
mP3H6MeN,,,,,
tP3H6MeN,,,,,
hP3H7MeN,,,,,
mP3H7MeN,,,,,
tP3H7MeN,,,,,
hP3H8MeN,,,,,
mP3H8MeN,,,,,
tP3H8MeN,,,,,
hP3H7MeD,,,,,
mP3H7MeD,,,,,
tP3H7MeD,,,,,
hP3H9MeD,,,,,
mP3H9MeD,,,,,
tP3H9MeD,,,,,
hP3H5PoxV,,,,,
mP3H5PoxV,,,,,
tP3H5PoxV,,,,,
hP2H3PhP,,,,,
mP2H3PhP,,,,,
tP2H3PhP,,,,,
hP3H10PhD,,,,,
mP3H10PhD,,,,,
tP3H10PhD,,,,,
hP3H9PxN,,,,,
mP3H9PxN,,,,,
tP3H9PxN,,,,,
hP3H8pMPxO,,,,,
mP3H8pMPxO,,,,,
tP3H8pMPxO,,,,,
hP3H5opNPhV,,,,,
mP3H5opNPhV,,,,,
tP3H5opNPhV,,,,,
hP3H5mFPxV,,,,,
mP3H5mFPxV,,,,,
tP3H5mFPxV,,,,,
hP3H7mFPxHp,,,,,
mP3H7mFPxHp,,,,,
tP3H7mFPxHp,,,,,
hP3H4BzB,,,,,
mP3H4BzB,,,,,
tP3H4BzB,,,,,
hP3H8BzO,,,,,
mP3H8BzO,,,,,
tP3H8BzO,,,,,
