PHA_type,component,readable_name,residue_code,smiles
3H5pMePxV,trimer,P3H5pMePxV_3,AFK,O[C@H](CCOC1=CC=C(C)C=C1)CC(=O)O[C@H](CCOC1=CC=C(C)C=C1)CC(=O)O[C@H](CCOC1=CC=C(C)C=C1)CC(=O)O
3H5pMePxV,head,hP3H5pMePxV,AFL,O[C@H](CCOC1=CC=C(C)C=C1)CC(=O)O
3H5pMePxV,mainchain,mP3H5pMePxV,AFM,O[C@H](CCOC1=CC=C(C)C=C1)CC(=O)O
3H5pMePxV,tail,tP3H5pMePxV,AFN,O[C@H](CCOC1=CC=C(C)C=C1)CC(=O)O
3H5mMePxV,trimer,P3H5mMePxV_3,AFO,O[C@H](CCOC1=CC(C)=CC=C1)CC(=O)O[C@H](CCOC1=CC(C)=CC=C1)CC(=O)O[C@H](CCOC1=CC(C)=CC=C1)CC(=O)O
3H5mMePxV,head,hP3H5mMePxV,AFP,O[C@H](CCOC1=CC(C)=CC=C1)CC(=O)O
3H5mMePxV,mainchain,mP3H5mMePxV,AFQ,O[C@H](CCOC1=CC(C)=CC=C1)CC(=O)O
3H5mMePxV,tail,tP3H5mMePxV,AFR,O[C@H](CCOC1=CC(C)=CC=C1)CC(=O)O
3H6pMePxHx,trimer,P3H6pMePxHx_3,AFS,O[C@H](CCCOC1=CC=C(C)C=C1)CC(=O)O[C@H](CCCOC1=CC=C(C)C=C1)CC(=O)O[C@H](CCCOC1=CC=C(C)C=C1)CC(=O)O
3H6pMePxHx,head,hP3H6pMePxHx,AFT,O[C@H](CCCOC1=CC=C(C)C=C1)CC(=O)O
3H6pMePxHx,mainchain,mP3H6pMePxHx,AFU,O[C@H](CCCOC1=CC=C(C)C=C1)CC(=O)O
3H6pMePxHx,tail,tP3H6pMePxHx,AFV,O[C@H](CCCOC1=CC=C(C)C=C1)CC(=O)O
3H6mMePxHx,trimer,P3H6mMePxHx_3,AFW,O[C@H](CCCOC1=CC(C)=CC=C1)CC(=O)O[C@H](CCCOC1=CC(C)=CC=C1)CC(=O)O[C@H](CCCOC1=CC(C)=CC=C1)CC(=O)O
3H6mMePxHx,head,hP3H6mMePxHx,AFX,O[C@H](CCCOC1=CC(C)=CC=C1)CC(=O)O
3H6mMePxHx,mainchain,mP3H6mMePxHx,AFY,O[C@H](CCCOC1=CC(C)=CC=C1)CC(=O)O
3H6mMePxHx,tail,tP3H6mMePxHx,AFZ,O[C@H](CCCOC1=CC(C)=CC=C1)CC(=O)O
3H5pFPxV,trimer,P3H5pFPxV_3,AGA,O[C@H](CCOC1=CC=C(F)C=C1)CC(=O)O[C@H](CCOC1=CC=C(F)C=C1)CC(=O)O[C@H](CCOC1=CC=C(F)C=C1)CC(=O)O
3H5pFPxV,head,hP3H5pFPxV,AGB,O[C@H](CCOC1=CC=C(F)C=C1)CC(=O)O
3H5pFPxV,mainchain,mP3H5pFPxV,AGC,O[C@H](CCOC1=CC=C(F)C=C1)CC(=O)O
3H5pFPxV,tail,tP3H5pFPxV,AGD,O[C@H](CCOC1=CC=C(F)C=C1)CC(=O)O
3H6pFPxHx,trimer,P3H6pFPxHx_3,AGE,O[C@H](CCCOC1=CC=C(F)C=C1)CC(=O)O[C@H](CCCOC1=CC=C(F)C=C1)CC(=O)O[C@H](CCCOC1=CC=C(F)C=C1)CC(=O)O
3H6pFPxHx,head,hP3H6pFPxHx,AGF,O[C@H](CCCOC1=CC=C(F)C=C1)CC(=O)O
3H6pFPxHx,mainchain,mP3H6pFPxHx,AGG,O[C@H](CCCOC1=CC=C(F)C=C1)CC(=O)O
3H6pFPxHx,tail,tP3H6pFPxHx,AGH,O[C@H](CCCOC1=CC=C(F)C=C1)CC(=O)O
3H7pFPxHp,trimer,P3H7pFPxHp_3,AGI,O[C@H](CCCCOC1=CC=C(F)C=C1)CC(=O)O[C@H](CCCCOC1=CC=C(F)C=C1)CC(=O)O[C@H](CCCCOC1=CC=C(F)C=C1)CC(=O)O
3H7pFPxHp,head,hP3H7pFPxHp,AGJ,O[C@H](CCCCOC1=CC=C(F)C=C1)CC(=O)O
3H7pFPxHp,mainchain,mP3H7pFPxHp,AGK,O[C@H](CCCCOC1=CC=C(F)C=C1)CC(=O)O
3H7pFPxHp,tail,tP3H7pFPxHp,AGL,O[C@H](CCCCOC1=CC=C(F)C=C1)CC(=O)O
3H5opF2PxV,trimer,P3H5opF2PxV_3,AGM,O[C@H](CCOC1=CC(F)=CC(F)=C1)CC(=O)O[C@H](CCOC1=CC(F)=CC(F)=C1)CC(=O)O[C@H](CCOC1=CC(F)=CC(F)=C1)CC(=O)O
3H5opF2PxV,head,hP3H5opF2PxV,AGN,O[C@H](CCOC1=CC(F)=CC(F)=C1)CC(=O)O
3H5opF2PxV,mainchain,mP3H5opF2PxV,AGO,O[C@H](CCOC1=CC(F)=CC(F)=C1)CC(=O)O
3H5opF2PxV,tail,tP3H5opF2PxV,AGP,O[C@H](CCOC1=CC(F)=CC(F)=C1)CC(=O)O
3H5pNO2PxV,trimer,P3H5pNO2PxV_3,AGQ,O[C@H](CCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O[C@H](CCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O[C@H](CCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H5pNO2PxV,head,hP3H5pNO2PxV,AGR,O[C@H](CCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H5pNO2PxV,mainchain,mP3H5pNO2PxV,AGS,O[C@H](CCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H5pNO2PxV,tail,tP3H5pNO2PxV,AGT,O[C@H](CCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H6pNO2PxHX,trimer,P3H6pNO2PxHX_3,AGU,O[C@H](CCCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O[C@H](CCCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O[C@H](CCCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H6pNO2PxHX,head,hP3H6pNO2PxHX,AGV,O[C@H](CCCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H6pNO2PxHX,mainchain,mP3H6pNO2PxHX,AGW,O[C@H](CCCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H6pNO2PxHX,tail,tP3H6pNO2PxHX,AGX,O[C@H](CCCOC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H5pNO2PhV,trimer,P3H5pNO2PhV_3,AGY,O[C@H](CCC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O[C@H](CCC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O[C@H](CCC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H5pNO2PhV,head,hP3H5pNO2PhV,AGZ,O[C@H](CCC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H5pNO2PhV,mainchain,mP3H5pNO2PhV,AHA,O[C@H](CCC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H5pNO2PhV,tail,tP3H5pNO2PhV,AHB,O[C@H](CCC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O
3H6pCNPxHx,trimer,P3H6pCNPxHx_3,AHC,O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O
3H6pCNPxHx,head,hP3H6pCNPxHx,AHD,O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O
3H6pCNPxHx,mainchain,mP3H6pCNPxHx,AHE,O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O
3H6pCNPxHx,tail,tP3H6pCNPxHx,AHF,O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O
3H5pCNPhV,trimer,P3H5pCNPhV_3,AHG,O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O
3H5pCNPhV,head,hP3H5pCNPhV,AHH,O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O
3H5pCNPhV,mainchain,mP3H5pCNPhV,AHI,O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O
3H5pCNPhV,tail,tP3H5pCNPhV,AHJ,O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O
3H5pCNPxV,trimer,P3H5pCNPxV_3,AHK,O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O
3H5pCNPxV,head,hP3H5pCNPxV,AHL,O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O
3H5pCNPxV,mainchain,mP3H5pCNPxV,AHM,O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O
3H5pCNPxV,tail,tP3H5pCNPxV,AHN,O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O
